# Constructed from biom file
OTU ID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30
6a4f504607ca2a1b9a2e680491bb77d8	16187	34073	23846	11406	7973	26333	19450	15068	10813	5484	22374	42733	35688	28923	12073	50526	24844	16435	20863	57377	10472	35505	17469	1966	9640	9418	17419	338	34	230
681da483c3cb1fd6daedcd13f2dfe304	236	1194	244	5083	827	10311	332	6098	1954	5638	957	639	804	24213	15432	1059	551	3964	569	2666	11333	5477	198	2461	268	1835	3829	4186	7530	1749
7ae4f1e2f20566f75ce34712ffd11ee8	1821	14373	4747	15008	6423	83	1715	5665	2399	14044	4482	11098	3699	4683	7497	55	4704	17499	4885	23937	16686	29	3828	13098	5247	9599	12229	34987	17510	8138
a996eb08c3d07dfa03db457508423a96	5406	210	10475	645	9593	188	1240	4808	800	56	618	229	858	5912	530	13	1602	35	1099	58	2038	854	38	8	57	6	4972	3553	1847	5
93abced93b05b11215a30cd3d32835de	6	643	0	1755	0	6	6858	2822	3609	1771	2535	3243	2653	79	8	63	71	1741	0	847	0	12	3	12	0	30	0	21	3	33
49d057dd43bcc4e3e1b1432ccf0ba791	1312	5661	1523	2662	1248	17	568	1796	1882	7999	1203	3692	548	742	264	16	3790	5744	1085	5673	1196	6505	3422	9033	2848	3796	959	3215	519	5997
d034bd218fec5ab731ab88ffeb6f3f8c	0	213	0	535	17	24561	0	258	0	90	0	0	0	2674	300	38223	0	27	20	189	687	18505	0	48	0	0	2648	14444	4172	12
0a1054c8532766635647e6af771c4ce6	505	223	256	1175	7	537	2610	3316	497	2812	2543	679	6383	17196	4	158	41	2629	0	521	0	26	3	121	0	19	3	14	0	154
81033a3485992f684442998243898109	217	955	434	1434	749	82	435	3111	585	2061	1564	778	686	4225	2570	5296	1208	1541	1221	3273	3155	3602	782	662	685	911	2909	2215	2450	469
39a3748e43c2b03623cba72b188437e5	0	293	8	918	0	0	4636	1399	2372	852	1706	1727	1680	36	0	0	33	899	4	497	0	0	0	0	0	0	0	0	0	0
b1f91cdda82d7620e72d231074d222ca	635	597	1045	418	1146	461	519	452	1567	1467	1238	1256	828	601	1351	25	1574	3101	1202	4164	1321	5257	1119	1736	1376	1970	580	1568	1053	1305
a25acfb0d39ac8490ae7590c16d9311c	758	1112	928	474	598	694	978	699	536	161	1159	1120	1612	1845	852	3025	770	506	663	2253	789	1426	1336	14	534	111	281	0	0	0
c714337d742b430f4502e623e98ecfa0	665	980	891	471	549	633	913	609	574	186	1159	1028	1471	1861	846	2905	727	534	616	2264	768	1280	1309	0	519	70	309	0	0	0
bcc360f737996ddf2601aa728261f6d6	612	642	914	430	1198	504	526	497	1558	1623	1246	1277	884	527	1194	5	1569	3153	1152	4307	1335	5125	1060	1649	1200	1926	606	1563	1003	1274
349065a6ebae852e2b9389cf1e86f163	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	2	0	0	0
d354d4898e74a378a50791de1ea7bf6f	857	1543	1067	627	1252	4	932	2118	1209	1619	2506	1278	1498	0	4	12	2647	2788	911	3349	0	0	1756	1840	1708	1018	405	6	0	1991
ce7fc1078283124b6bad71baf2809516	637	878	736	397	497	533	784	614	486	151	981	856	1247	1700	752	2523	637	409	495	1777	691	1160	1151	0	420	71	247	0	12	0
bb8b6a89c726b80388f359956fddaa0b	0	102	3	296	0	0	2238	502	1284	281	1033	570	1745	33	0	0	226	467	52	400	14	0	30	25	152	34	91	2	0	25
69383c7ec4a012c1250b0ff7cd4ecf8c	45	12	57	0	11	0	328	5	416	0	1085	0	459	0	0	0	517	68	203	99	0	0	571	0	634	0	30	0	0	0
2c8b2e9a89a943c662704201abc5a97a	576	849	710	309	436	485	708	586	482	128	923	800	1217	1587	772	2479	632	445	488	1892	683	1195	1108	0	393	72	285	0	0	0
99a419cc34ef04dbc530f66e81c29ccb	42	0	51	0	0	0	273	0	352	13	1011	0	364	0	0	2	493	74	211	97	0	0	579	8	584	5	48	0	0	0
51287b0d5f3b5d851a59bb11a5a3493b	573	800	761	367	455	520	818	626	449	136	984	825	1173	1578	703	2301	637	389	478	1669	647	1140	1045	17	419	87	294	0	0	21
449fd55fd21f562d372b624a5a2944ba	1133	1090	1435	439	128	3	1230	667	1824	1340	1886	1881	2151	0	0	6	2242	481	1367	306	0	0	1497	1460	1973	2111	294	0	0	875
e551cab0d78d8a864d437d55bcf2bfd0	443	295	671	82	831	7	509	242	960	500	1770	389	945	0	126	7	1846	1050	1379	553	891	0	1641	763	2525	650	277	5	15	887
c351a8daccbe029a456be7f713cdbf65	511	711	687	356	383	494	730	559	424	178	776	869	1068	1562	677	2438	514	388	385	1720	669	1212	913	11	428	49	279	0	0	0
2bfec828f21f0339fbb7e33ee20df86a	0	0	0	0	22	0	0	0	0	0	0	0	0	0	11817	0	0	6	56	0	7249	715	0	0	0	0	2550	214	4386	0
87c08d0c3efd458ae7a142c78ad41c9d	307	750	635	528	981	3	331	3495	787	2631	1112	944	802	0	0	4	1144	1814	581	1376	215	5	598	2414	745	1192	453	0	2	856
7ab9cc8e5a8dfc9a74dfaae082944ae9	0	53	0	223	0	8991	0	110	0	31	0	0	0	875	119	13616	0	0	0	73	262	6743	0	0	0	0	910	5080	1541	0
4a6e61d351bda3a732c4fe31b4c5e968	281	1322	246	173	905	541	537	2967	1742	2409	789	416	2221	1195	662	1050	274	455	197	341	632	165	2907	6	2365	0	936	7	2131	26
70ee174be937ad7bc711e527141793b0	232	975	678	1180	981	0	232	2802	623	1199	594	662	836	0	1497	4	1102	1140	647	2805	746	2	777	583	911	1083	548	0	901	918
c0040e4b4b433a6fcc2895720b45e95b	0	88	0	214	0	8252	3	73	0	25	0	0	0	845	128	12310	0	21	0	76	265	6286	0	16	4	0	833	4767	1443	0
f2abc794628b46873a0f840632a06653	1095	0	1803	0	0	800	0	0	2999	0	2382	0	0	0	0	0	0	0	0	0	0	0	2106	2995	0	0	1086	2722	0	0
75131c98e855fda153b965838dac0199	546	746	781	887	747	0	950	1181	924	1156	1205	1035	1094	0	0	5	1031	2370	492	2186	0	0	655	868	1311	1477	354	0	0	673
9373bc33ef6979a2e495be4eb1bcfac6	0	433	209	987	190	0	0	5055	152	265	0	1731	130	1483	0	0	125	767	0	864	113	0	1670	0	1307	0	345	0	0	0
2e14fba1a4a70a9ba5cf7cb5f4f5eee7	239	629	540	972	632	0	299	1971	715	497	889	612	632	0	1314	8	1302	1538	720	3392	1347	0	582	913	477	1041	353	0	58	737
db4582b15291cd8272bf872e291550a7	257	583	549	883	609	0	318	2039	686	500	832	541	598	0	1255	10	1222	1531	666	3379	1325	0	622	916	524	1048	351	0	28	775
5693d0ebb0d204ed68efbeb15d289088	122	216	144	604	130	0	114	2976	343	179	84	1166	344	915	0	34	177	411	43	427	63	0	904	45	687	15	223	0	0	0
1a87b469a2307cf6d44075c07072c2ce	222	637	477	883	569	0	298	1830	739	447	808	517	628	0	1293	0	1110	1419	616	3263	1255	7	620	859	511	995	300	0	48	664
57ee9683402f190e2dad28648e3f116f	237	474	543	869	554	7	294	1695	690	452	742	441	612	0	1157	0	1115	1333	622	3147	1197	0	580	815	517	913	333	0	51	631
7d3ac049ecc99fc4861b4d475dfa3505	56	4	92	0	68	0	209	4	222	9	229	0	236	0	0	0	474	39	122	0	0	5	39	0	142	38	0	0	0	17
683f9a30a790eb8cd1ea879c50b6f3ec	0	10	2	88	0	24	14	508	175	322	32	92	115	1708	0	43	0	108	3	33	8	17	5	10	5	0	73	0	66	24
347d1bb3d2385d31d229c332732292ec	0	0	0	97	0	10387	0	0	0	0	0	3	2	4692	173	2522	0	40	35	125	720	574	0	5	0	0	899	1773	2513	0
a3bc7c23b7bf3b425165183b63a29958	368	715	519	270	614	0	453	971	528	819	1234	583	760	0	0	3	1279	1348	468	1558	0	0	926	835	845	475	207	0	0	885
0ce616472c4cd9ef7b70ce266a70314b	59	209	116	354	182	0	78	801	125	439	367	215	160	1068	606	1347	252	365	272	731	651	932	174	126	153	178	591	483	494	106
15bb8965dfb554ecf2fffe97ccb4d7f3	156	16	84	0	17	0	106	0	90	36	186	16	217	0	0	0	119	48	37	46	0	0	56	59	45	0	10	0	0	23
b599ca7ead9ac478fb9411f8ac164d1f	200	164	318	45	431	0	288	127	511	215	793	157	441	0	44	0	854	499	700	287	400	0	880	368	1173	285	125	0	0	410
7ba2508bd9f0249c162e2ea8f03e7b69	195	155	315	29	433	3	249	119	516	247	825	162	387	0	49	0	939	480	721	267	445	0	823	377	1262	312	189	0	7	434
f5b572610639edfe1c92fab8b033fba5	32	48	25	138	3	19	946	357	361	49	1031	42	730	58	0	0	530	48	15	12	0	0	0	11	0	0	0	0	0	4
4bf644c09c6bdcc135d2cfaa558c76fa	0	665	523	292	542	0	413	841	0	862	1278	553	687	0	0	0	1187	1221	415	1520	0	0	0	757	0	486	0	0	0	932
70fb229a7315c3a5beb96cb6f3951fcf	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0
e6c3741a11bf648013bc956794cadd6a	183	401	256	391	312	0	356	1095	557	779	650	549	803	0	0	0	688	1086	343	689	427	0	472	611	626	450	156	0	10	526
06a8e4fb0196c808d7fbd4e95fdc16b0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	1197	196	9	0	106	328	898	4562	2	0	0	0	879	3095	1915	0
79ddc5bdf0f3292dc8585dff31c20aae	116	0	203	0	174	0	458	0	601	0	532	10	461	0	0	0	981	71	265	19	0	0	24	0	80	55	0	5	0	59
af357d347dabc165958e2fd4e4276240	0	0	5	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
e5c303209203f39c270e05a3e967e581	249	1056	153	556	724	686	128	204	540	267	198	81	990	95	310	429	185	137	147	78	286	53	351	627	299	377	122	520	258	1192
257e0602f07ab53436782b5920b31bdc	0	0	0	0	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f39f158e18cbe3f9ca20b33188c589d8	42	103	118	235	49	0	81	1108	319	79	101	452	337	377	0	0	144	167	39	156	22	0	389	0	245	0	68	12	0	0
dcf25d51432d33dda09ccc4fcbfa8e74	8	47	750	0	0	2	44	29	479	25	373	63	91	0	0	0	6	0	0	2	0	0	0	174	115	75	0	0	0	125
a2f0ca105271146099a2352b929c6b83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
5c6c4cb63b233eb3485f517e9249e3c8	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5
1f8042dc7350dfc22038b9923dbd3731	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41db06ea59b9932b292dcb00acb0498d	138	695	147	668	461	81	362	147	524	362	759	272	222	0	475	0	611	710	416	1282	535	0	941	1030	465	628	604	0	890	717
d9d606abfee1ce8d938bfb76a92c91d3	83	0	120	0	79	0	225	0	269	0	285	0	259	0	0	0	508	42	128	0	0	0	26	0	71	46	0	0	0	0
3f82e6019c1087f7d17559638c4ff5c2	89	42	58	200	0	72	382	593	85	522	388	112	892	2761	0	25	0	459	0	76	0	0	0	0	0	0	0	0	0	0
ccd6c8d7a118009fa0de0cf34d5ea28e	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	19	39	0	0	0	0	0	0
6f8500e3ade7de9dcd6adb9781f5ef7c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
be24f46f30ca4c26d109c907dcb4b3ed	372	361	499	144	40	0	448	238	563	409	594	652	759	0	0	0	735	116	477	108	0	0	503	529	664	719	106	0	0	354
91c6279eb4e81ce7337c77ec7f2556ad	0	40	0	188	0	0	782	239	461	168	302	302	265	0	0	0	0	180	0	89	0	0	0	0	0	0	0	0	0	0
31a5671dfc76bdab793d97fb1473e14c	133	612	174	578	399	53	381	88	533	308	657	242	221	0	399	3	588	633	346	1107	486	0	874	906	451	532	531	0	751	625
26578f1e23bbb1ad948adb2dc7a48c0e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5421	0	0	0	17	0	2467	278	0	0	0	0	855	79	1530	0
2f40514e44234bdbe6b5a85a72363548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5157	0	0	0	23	0	2594	341	0	0	0	0	862	56	1509	0
00b57577b3c7ef0e4846a5dbe62a1f48	41	748	92	89	73	0	125	353	220	1223	385	243	84	0	0	0	263	1089	59	1413	37	0	119	847	113	1201	22	0	0	892
e62f2c34ca53b020b4c271790e691296	141	1046	127	496	505	669	77	174	412	246	145	83	801	90	192	446	158	121	93	118	199	24	184	445	172	259	62	435	142	867
149680c632c20d6e7d902e7967bc1ae5	133	583	149	603	395	41	316	136	359	244	540	266	190	0	375	0	484	503	317	972	578	0	889	793	377	626	632	0	522	678
c19527453723a01a4ef5c983689c4a2b	0	661	0	624	293	0	0	0	0	632	0	463	0	0	0	0	0	727	0	1013	683	0	0	585	0	428	469	1514	695	0
d349d70e54bbd1d3a1f5dbebd005ea03	122	511	90	0	129	0	255	0	64	1217	377	548	44	0	0	3	507	3084	190	2289	0	0	208	1142	13	682	0	0	0	817
8257cc34d903cbe83052c673008af1f3	48	110	518	573	526	0	34	70	1026	50	294	51	2028	0	0	0	100	79	178	1210	0	0	79	2383	210	729	0	0	0	198
f8dc07d39ead1701df885a533b5b5214	56	143	78	428	81	0	0	1816	54	125	18	679	42	580	0	0	53	253	21	342	37	0	640	17	487	0	177	0	0	0
73d044a3940ac855068ffdf76381c7d9	0	0	0	72	0	0	391	152	128	41	477	0	343	46	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0
2c87e53b08e67f547d538ae3499c539d	157	433	111	538	398	43	344	88	337	164	461	214	154	0	317	0	431	444	262	706	543	0	805	670	309	398	512	0	571	635
e07cc0e8d7b2f240fd15a3b3d6abdea0	65	132	36	115	0	0	157	920	377	457	257	150	434	381	41	0	409	274	81	255	11	0	90	401	294	442	96	5345	300	228
a412ac5b91fdad32b7be377e67349131	9	427	13	0	0	0	28	0	169	67	15	158	397	0	0	0	289	44	304	25	0	0	0	1478	15	1396	0	0	0	158
84f81e2573b26e276d951062f1c74630	0	451	0	0	0	0	0	0	163	62	0	167	407	0	0	0	243	67	352	33	0	0	17	1551	0	1357	0	0	0	140
df966e5138488d8e999d6781f39dd6a5	145	97	98	50	390	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	39	15	27	0	34	20	58
e5974e0b8a7bd2431c9cb84339b7f567	66	0	49	0	0	0	30	0	31	0	100	17	108	0	0	0	51	25	34	0	0	0	0	0	0	0	0	0	0	0
914b305375282b2ccdcd9615bba189ec	220	242	2911	0	0	0	56	33	1337	171	63	126	0	0	0	0	403	39	9	74	0	0	763	59	207	2218	0	0	0	870
ea54d109f542cfca2289335e44ec4268	0	46	403	0	301	4	0	25	0	79	0	80	0	0	0	0	0	119	0	1184	0	0	0	631	0	91	0	0	0	0
314e457f2c8bd3b875f52f8d3f75a92a	73	42	135	0	0	0	69	68	509	1786	392	535	48	0	0	0	187	1641	103	1119	0	0	13	1362	8	518	0	0	0	689
ec58dc894ce09aa9cde8cfe48f44979f	0	6	0	20	0	54	144	881	347	381	420	0	322	1418	0	155	0	82	0	0	0	2	0	0	0	0	0	0	0	0
ebd7749d0afeb4fcda5fccd6b6ae6b21	0	0	0	28	0	4895	0	0	0	0	0	0	0	1997	86	1229	0	34	0	56	317	277	0	0	0	0	394	811	1113	0
ec35dd9e784c902dacc15096eec66cc7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d039dfcf6fa20634a07fffc15bb3a492	67	0	42	0	0	0	26	0	23	16	103	20	113	0	0	0	61	12	35	12	0	0	21	28	22	0	0	0	0	0
227567af2f7a0db2ec116ac05a81cf8b	15	106	213	65	235	0	46	34	698	31	94	27	1059	0	0	0	57	112	29	2763	0	0	279	1039	177	2939	2	0	0	189
be384a6d801cc7e2913f036008a07029	19	236	95	0	0	0	15	0	658	0	150	180	33	0	0	0	94	6	69	3	0	0	25	197	25	546	0	0	0	509
7a9197d3671c5fb01dfcdfb5e7b29f88	84	231	159	102	151	2	192	296	281	212	221	204	278	0	0	0	281	867	120	1756	0	0	158	254	171	269	289	0	0	166
