# Constructed from biom file
OTU ID	CR40-2002_044w-taxa	CR40-2004_044w-taxa	CR40-2005_044w-taxa	CR40-2006_044w-taxa	CR40-2007_044w-taxa	CR40-2008_044w-taxa	CR40-2010_044w-taxa	AL-0004_044w-taxa	AL-0005_044w-taxa	AL-0006_044w-taxa	AL-0007_044w-taxa	AL-0008_044w-taxa	AL-0010_044w-taxa	AL-0012_044w-taxa	AL-0014_044w-taxa	AL-0015_044w-taxa	Consensus Lineage
2	7953.0	18066.0	22056.0	10786.0	23040.0	15772.0	27846.0	11038.0	6493.0	2588.0	13389.0	7739.0	15706.0	8642.0	14922.0	23453.0	k__Bacteria; p__; c__; o__; f__; g__; s__
1239	4224.0	15247.0	5666.0	4349.0	23822.0	11088.0	8162.0	3296.0	6130.0	1941.0	13640.0	10183.0	13891.0	11088.0	13761.0	8700.0	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; s__
186801	154.0	564.0	143.0	157.0	888.0	373.0	216.0	133.0	207.0	73.0	462.0	262.0	508.0	365.0	651.0	295.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__; g__; s__
186802	6016.0	21858.0	5837.0	6674.0	35103.0	16897.0	11008.0	4258.0	10365.0	2796.0	21574.0	14860.0	21257.0	18023.0	27305.0	10149.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
186803	2582.0	10317.0	2453.0	2407.0	14085.0	6776.0	4081.0	1695.0	4082.0	1386.0	7990.0	5573.0	10053.0	8115.0	10761.0	3840.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
1506553	129.0	733.0	130.0	188.0	796.0	494.0	234.0	90.0	225.0	56.0	523.0	519.0	504.0	514.0	601.0	220.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; s__
1834196	5518.0	26204.0	4434.0	5584.0	31336.0	16922.0	8171.0	3931.0	9258.0	2671.0	21065.0	14951.0	21351.0	18919.0	26207.0	9551.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; s__sp. YL32
29347	1898.0	5741.0	1741.0	2179.0	9933.0	4943.0	2420.0	947.0	2831.0	678.0	7314.0	5132.0	5312.0	5160.0	9806.0	2686.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; s__[Clostridium] scindens
1871021	806.0	3033.0	767.0	719.0	4179.0	2053.0	1203.0	433.0	1236.0	458.0	2584.0	1378.0	2808.0	2215.0	3942.0	1132.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; s__phocaeense
89153	171.0	452.0	169.0	169.0	761.0	383.0	314.0	72.0	211.0	73.0	368.0	225.0	475.0	340.0	540.0	142.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; s__[Clostridium] hylemonae
