# Constructed from biom file
OTU ID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25
9c9bfd420fffa8772f8982255054c692	114	6687	118	7437	50	3939	174	4025	293	12274	206	2229	158	193	9367	421	45452	1145	1033	872	1043	507	274	949	611
1cb85e10fa890fda99460d5703c18abd	4994	43562	5507	84937	10130	86655	24320	79049	98	33520	88	40802	65	74	36261	24134	58988	33505	24680	31020	30469	14834	18699	26540	30179
abcda143e8418f4e2b05862424b1a1a2	4998	10860	5338	42894	2206	35198	3362	28456	45	36823	37	27172	36	27	28482	64	30932	54	42691	40	16761	39	9245	12409	15338
1bb73fe7e3fdfcc431d59cc403af855f	402	17	870	34	2576	23	1868	30	31836	17	56696	25	6625	19391	30	55	14827	26	3477	19	2897	19	14	23	24
a2213eede305d5a387ec2a9e56412657	9	6330	11	112	0	40	20	70	26	2138	31	3097	19	16	387	24	4302	21	79	0	23	22	15	39	14
038e68382049fa9f43dc32ecaf014248	0	611	0	470	0	394	11	304	15	51	0	156	12	0	224	24	6438	12	2136	12	1181	9	0	17	12
e5b3f89f3ffb0a366b93a0965ff49c51	436	6393	497	5478	1223	5558	3155	4230	12	3921	12	1765	0	12	3684	2595	5478	1776	2123	1861	2626	1064	0	3074	9
9f9b57701ebe5210eda50a4a6587cbb9	6935	6	8630	12	1342	10	3523	12	25767	351	5221	8	8	9752	6019	3309	2482	7852	11	6572	8	3522	782	69	741
c42f0eb615187b1286dadebab41d7a87	24	10047	23	2917	74	2632	87	3763	2863	2134	1311	1489	968	1881	2463	1433	3055	2487	1927	1471	692	785	661	261	959
1b78e0679cf62154ddcc893eccae4bd3	0	10	0	12	4	33	10	10	11	11	3	12	0	9	13	13270	3649	10132	1458	13055	1742	5834	7526	20184	23340
3be08352b97ea2e92648d08b80050098	248	7641	155	9304	504	12011	1819	4823	18	15	0	8	7	14	11	3095	18555	4327	16026	2931	10597	1985	8	10967	8
a17615ff4fd3aed83e4580bda8eaf7dc	0	14858	3	11935	0	21564	0	7036	8	5675	5	2643	3	0	4414	0	3460	0	2484	7	1819	3	2	725	0
19c6f59bf02c07920c7a2bc8748d6138	2349	208	1665	6084	0	3352	5	954	9	3274	9	3264	6	10	2112	2451	11592	4514	709	1298	1671	1079	340	2963	659
64ea940931bd80e78fd33d111218e779	0	672	0	479	0	452	0	350	0	42	12	210	0	8	228	0	505	14	135	0	74	12	0	0	0
56352445cb2397e117ec910ab2741f0f	0	0	0	0	0	13	0	0	0	2836	0	2580	0	0	343	9	42	0	70	0	0	0	12	0	0
8070fca334d516d62934d0ead7cbca95	4	2768	5	0	0	20	8	0	0	1336	8	774	0	4	132	9	1661	6	52	5	23	0	0	5	7
de79d54372a232e99a0d611c5ac21de2	0	2183	0	63	0	0	0	0	0	731	0	1159	0	0	136	0	1621	0	0	13	0	0	0	0	0
3b3b5e4b9a01a9a5e58ce64a33352128	0	2199	0	46	0	21	9	0	29	131	10	192	0	126	36	0	0	8	7	0	0	10	0	0	0
bfc065e0d4d9c5d92fb2d43eac1518a8	0	2150	0	36	0	16	0	26	0	746	0	1067	0	0	108	10	1339	0	32	0	6	0	0	4	0
dca53242f1473a67e90b9663cc71c2db	4	514	0	0	0	0	0	19	0	330	0	644	0	122	98	12	18	0	0	0	0	0	0	13	5
e009fb097af014642398cb17a0ad6efb	96	1944	148	6465	460	4870	1278	4472	0	0	5	20	7	0	0	142	5163	447	2153	194	1384	238	68	599	62
e9e9254ed3582a882c5cd29eaf633d70	0	0	6	77	183	36	725	0	3880	0	3191	4	6145	2818	7	6699	0	5768	0	4235	12	5837	5	6	0
d672cdee4f3da152b21b00c12c2565b1	0	0	0	9	4934	13	4804	10	8	3	4	3	4	6	6	7	57	6	4	5	6	8	3	6	0
250c48472b1fb79aaae6e50b068988b1	7	0	0	0	0	0	0	0	0	0	0	0	13	0	0	5914	2043	4429	877	5713	930	2618	3805	10978	11549
88e8289c3db647c9c721dbe5f62a2d4d	0	36	0	3111	0	1809	7	1129	0	5	0	0	0	0	0	3987	2754	6563	1264	4484	1203	3135	2488	2008	4422
bc3880dd5357957becc98c47571a4471	163	2680	200	2218	536	2312	1397	1864	0	1718	0	756	0	0	1508	1082	2263	728	867	778	1057	427	0	1226	0
770733678cdb070c597da2ff4a3d6c79	272	0	651	0	1528	0	1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fe061f50a19fde130ad759f7326b767	0	1661	0	21	0	0	0	27	16	849	0	511	0	0	83	0	962	0	56	0	0	0	0	0	0
71a6d28ab2223ae2cf0aa137fb5826ca	158	2505	230	2173	511	2215	1279	1727	0	1611	0	768	0	0	1482	967	2244	715	855	696	1037	397	0	1184	0
16bad0912fb4a1fc8ab31515427e6586	0	51	0	13	0	0	0	27	0	3099	0	2528	0	0	1947	0	220	0	361	0	29	0	0	14	0
be14bacb50832a4eb89597a92ded1902	0	0	0	0	0	0	0	0	0	1921	0	1529	0	0	178	0	0	0	0	0	0	0	0	14	0
